"id","sensor_name","lat","lon","address","serial","description","account_id"
152,"baggy-rose-bracke",,,,,,152
153,"dorky-olive-zebra",,,,,,153
154,"sloppy-indigo-alligator",,,,,,154
155,"sloppy-mauve-hornet",,,,,,155
156,"wiggy-rust-gar",,,,,,156
157,"trippy-copper-tamarin",,,,,,157
158,"zippy-amethyst-worm",,,,,,158
159,"woozy-linen-squirrel",,,,,,159
160,"homey-azure-horse",,,,,,160
161,"woozy-burgundy-kudu",,,,,,161
162,"gummy-cyan-giraffe",,,,,,162
163,"gimpy-mauve-wolfhound",,,,,,163
164,"messy-orchid-baboon",,,,,,164
165,"silly-cerise-opossum",,,,,,165
166,"tacky-cyan-wolverine",,,,,,166
167,"muggy-rose-dormouse",,,,,,167
168,"snoopy-tangerine-duck",,,,,,168
169,"pretty-rose-oyster",,,,,,169
170,"dorky-goldenrod-monkey",,,,,,170
171,"bluesy-gold-bonobo",,,,,,171
172,"ugly-zucchini-kudu",,,,,,172
173,"sleepy-emerald-snake",,,,,,173
174,"gimpy-pink-earwig",,,,,,174
207,"zippy-lavender-drever",,,,,,207
208,"snappy-ecru-eel",,,,,,208
209,"fuzzy-orchid-hound",,,,,,209
210,"shabby-puce-chamois",,,,,,210
211,"trippy-rose-argentino",,,,,,211
212,"hasty-fuchsia-bloodhound",,,,,,212
213,"lovely-crimson-gar",,,,,,213
214,"messy-lime-millipede",,,,,,214
215,"lousy-scarlet-macaque",,,,,,215
216,"ugly-myrtle-zebu",,,,,,216
217,"cloudy-dandelion-squirt",,,,,,217
218,"goopy-red-goat",,,,,,218
219,"freaky-mustard-heron",,,,,,219
220,"breezy-ochre-robin",,,,,,220
221,"pretty-peach-foxhound",,,,,,221
222,"sickly-harlequin-cassowary",,,,,,222
223,"pretty-bronze-walrus",,,,,,223
224,"slimy-tomato-binturong",,,,,,224
225,"slimy-carmine-crab",,,,,,225
226,"shaky-violet-starfish",,,,,,226
227,"lumpy-harlequin-corgi",,,,,,227
228,"blurry-chartreuse-skunk",,,,,,228
229,"stinky-pink-ragdoll",,,,,,229
230,"stinky-aquamarine-crocodile",,,,,,230
231,"muggy-heliotrope-donkey",,,,,,231
232,"surly-tomato-woodlouse",,,,,,232
233,"pasty-fuchsia-frise",,,,,,233
234,"crappy-tan-russel",,,,,,234
235,"shabby-russet-raccoon",,,,,,235
236,"shaky-linen-hyrax",,,,,,236
237,"chewy-lavender-termite",,,,,,237
238,"nippy-lime-skunk",,,,,,238
239,"hasty-ecru-llama",,,,,,239
240,"stealthy-indigo-shark",,,,,,240
241,"woolly-cobalt-fossa",,,,,,241
242,"nippy-asparagus-barnacle",,,,,,242
243,"randy-blue-caterpillar",,,,,,243
244,"homely-asparagus-oyster",,,,,,244
245,"sunny-aquamarine-crocodile",,,,,,245
246,"lumpy-lemon-boar",,,,,,246
247,"gloppy-flax-cattle",,,,,,247
248,"lovely-cornflower-quokka",,,,,,248
249,"homely-vermilion-cattle",,,,,,249
250,"cloudy-malachite-ladybird",,,,,,250
251,"paltry-champagne-barracuda",,,,,,251
252,"woolly-mustard-chicken",,,,,,252
253,"foggy-taupe-liger",,,,,,253
254,"squirrely-orange-jellyfish",,,,,,254
255,"seedy-cobalt-seahorse",,,,,,255
256,"skanky-emerald-manatee",,,,,,256
257,"hazy-cream-tarantula",,,,,,257
258,"gloppy-aquamarine-mongoose",,,,,,258
259,"stuffy-taupe-molly",,,,,,259
260,"gimpy-azure-havanese",,,,,,260
261,"boozy-magenta-kingfisher",,,,,,261
262,"grumpy-copper-blue",,,,,,262
263,"hazy-cinnamon-frog",,,,,,263
264,"sunny-crimson-yak",,,,,,264
265,"craggy-peach-caracal",,,,,,265
266,"zippy-orchid-frog",,,,,,266
267,"grumpy-heliotrope-crab",,,,,,267
268,"messy-pink-rhinoceros",,,,,,268
269,"stuffy-aqua-shrew",,,,,,269
270,"gummy-purple-urchin",,,,,,270
271,"homely-ruby-discus",,,,,,271
272,"queasy-seashell-squirt",,,,,,272
273,"breezy-black-iguana",,,,,,273
274,"gummy-pear-monkey",,,,,,274
275,"breezy-cream-spider",,,,,,275
276,"stuffy-olive-sloth",,,,,,276
277,"skanky-fuchsia-catfish",,,,,,277
278,"homely-cobalt-woodpecker",,,,,,278
279,"droopy-teal-ladybird",,,,,,279
280,"nerdy-pumpkin-antelope",,,,,,280
281,"wimpy-apricot-eel",,,,,,281
282,"beady-magenta-tamarin",,,,,,282
283,"surly-asparagus-capuchin",,,,,,283
284,"gummy-pumpkin-lobster",,,,,,284
285,"geeky-burgundy-frise",,,,,,285
286,"slimy-turquoise-harrier",,,,,,286
287,"flimsy-flax-manatee",,,,,,287
288,"wheezy-red-guppy",,,,,,288
289,"craggy-chestnut-fossa",,,,,,289
290,"messy-magenta-chamois",,,,,,290
291,"bluesy-chartreuse-moth",,,,,,291
292,"sloppy-persimmon-fowl",,,,,,292
293,"squirrely-orange-seahorse",,,,,,293
294,"squirrely-aquamarine-elephant",,,,,,294
295,"grumpy-cornflower-axolotl",,,,,,295
296,"stinky-myrtle-gopher",,,,,,296
297,"jumpy-rose-vulture",,,,,,297
298,"bluesy-amaranth-macaw",,,,,,298
299,"greasy-sapphire-horse",,,,,,299
300,"cozy-denim-dalmatian",,,,,,300
301,"skanky-brown-woodpecker",,,,,,301
